Город,Страна,lat,lng,Население,Аб2,Аб3
Янтай,Китай,37.3997,121.2664,6968202.0,CN,CHN
Рияд,Саудовская Аравия,24.65,46.71,6889000.0,SA,SAU
Лоян,Китай,34.6587,112.4245,6888500.0,CN,CHN
Куньмин,Китай,25.0433,102.7061,6850000.0,CN,CHN
Шанграо,Китай,28.4419,117.9633,6810700.0,CN,CHN
Ханчжоу,Китай,30.25,120.1675,6713000.0,CN,CHN
Биджи,Китай,27.3019,105.2863,6686100.0,CN,CHN
Цюаньчжоу,Китай,24.9139,118.5858,6480000.0,CN,CHN
Майами,Соединенные Штаты,25.7839,-80.2102,6445545.0,US,USA
Уси,Китай,31.5667,120.2833,6372624.0,CN,CHN
Хуанган,Китай,30.45,114.875,6333000.0,CN,CHN
Маоминг,Китай,21.6618,110.9178,6313200.0,CN,CHN
Наньчун,Китай,30.7991,106.0784,6278614.0,CN,CHN
Цзуньи,Китай,27.705,106.9336,6270700.0,CN,CHN
Цюцзин,Китай,25.5102,103.8029,6155400.0,CN,CHN
Багдад,Ирак,33.35,44.4167,6107000.0,IQ,IRQ
Синьян,Китай,32.1264,114.0672,6109106.0,CN,CHN
Цзеян,Китай,23.5533,116.3649,6089400.0,CN,CHN
Хартум,Судан,15.6031,32.5265,6017000.0,SD,SDN
Мадрид,Испания,40.4167,-3.7167,6006000.0,ES,ESP
Прайаградж,Индия,25.45,81.85,5954391.0,IN,IND
Юлин,Китай,22.6293,110.1507,5849700.0,CN,CHN
Чандэ,Китай,29.0397,111.6839,5827200.0,CN,CHN
Ляочэн,Китай,36.45,115.9833,5789863.0,CN,CHN
Циндао,Китай,36.1167,120.4,5775000.0,CN,CHN
Даллас,Соединенные Штаты,32.7936,-96.7662,5743938.0,US,USA
Нангандао,Китай,35.2992,113.8851,5708191.0,CN,CHN
Сянъян,Китай,32.0654,112.1531,5680000.0,CN,CHN
Филадельфия,Соединенные Штаты,40.0077,-75.1339,5649300.0,US,USA
Гиза,Египет,29.987,31.2118,5598402.0,EG,EGY
Любящий ан,Китай,31.7542,116.5078,5611701.0,CN,CHN
Чжаотон,Китай,27.3328,103.7144,5591000.0,CN,CHN
Ичунь,Китай,27.8041,114.383,5573200.0,CN,CHN
Дэчжоу,Китай,37.4513,116.3105,5568235.0,CN,CHN
Найроби,Кения,-1.2864,36.8172,5545000.0,KE,KEN
Наньчан,Китай,28.6842,115.8872,5545500.0,CN,CHN
Тайв™ан,Китай,36.2001,117.0809,5494207.0,CN,CHN
Дачжоу,Китай,31.2152,107.4947,5468097.0,CN,CHN
Хьюстон,Соединенные Штаты,29.7863,-95.3889,5464251.0,US,USA
Гвадалахара,Мексика,20.6767,-103.3475,5437000.0,MX,MEX
Юнчжоу,Китай,26.4515,111.5953,5452100.0,CN,CHN
Атланта,Соединенные Штаты,33.7627,-84.4224,5449398.0,US,USA
Рангун,Мьянма,16.795,96.16,5430000.0,MM,MMR
Торонто,Канада,43.7417,-79.3733,5429524.0,CA,CAN
Суйхуа,Китай,46.6384,126.9808,5418153.0,CN,CHN
Санкт-Петербург,Россия,59.95,30.3167,5384342.0,RU,RUS
Вашингтон,Соединенные Штаты,38.9047,-77.0163,5379184.0,US,USA
Цицикар,Китай,47.3398,123.9512,5367003.0,CN,CHN
Сучжоу,Китай,33.6333,116.9683,5352924.0,CN,CHN
Шаньтоу,Китай,23.3735,116.6941,5319028.0,CN,CHN
Вейнан,Китай,34.4996,109.4684,5286077.0,CN,CHN
Чанчжоу,Китай,31.8122,119.9692,5278121.0,CN,CHN
Сингапур,Сингапур,01.мар,103.8,5271000.0,SG,SGP
Фучжоу,Китай,26.0769,119.2917,5245000.0,CN,CHN
Пудун,Китай,31.2231,121.5397,5187200.0,CN,CHN
Белу-Оризонти,Бразилия,-19.9281,-43.9419,5159000.0,BR,BRA
Чжанчжоу,Китай,24.5093,117.6612,5140000.0,CN,CHN
Юньчэн,Китай,35.0304,110.998,5134779.0,CN,CHN
Сучжоу,Китай,31.304,120.6164,5103000.0,CN,CHN
Сяньян,Китай,34.35,108.7167,5096001.0,CN,CHN
Гуйлинь,Китай,25.2667,110.2833,5085500.0,CN,CHN
Тайчжоу,Китай,32.4831,119.9,5031000.0,CN,CHN
Абиджан,Кот-д'Ивуар,май.64,-4.0267,4980000.0,CI,CIV
Хуайхуа,Китай,27.5494,109.9592,4979600.0,CN,CHN
Джив™ан,Китай,27.1172,114.9793,4956600.0,CN,CHN
Сяоганьчжань,Китай,30.9273,113.911,4921000.0,CN,CHN
Пиндиншань,Китай,33.735,113.2999,4904701.0,CN,CHN
Цзюцзян,Китай,29.7048,116.0021,4896800.0,CN,CHN
SE«крыса,Индия,21.17,72.83,4875000.0,IN,IND
Гуйян,Китай,26.5794,106.7078,4881900.0,CN,CHN
Александрия,Египет,31.2,29.9167,4870000.0,EG,EGY
Бочжоу,Китай,33.8626,115.7742,4850657.0,CN,CHN
Сидней,Австралия,-33.865,151.2094,4840600.0,AU,AUS
Хуэйчжоу,Китай,23.1115,114.4152,4830000.0,CN,CHN
Хуайв™ан,Китай,33.5,119.1331,4799889.0,CN,CHN
Чэньчжоу,Китай,25.7989,113.0267,4744500.0,CN,CHN
Барселона,Испания,41.3825,2.1769,4735000.0,ES,ESP
Аньцин,Китай,30.май,117.0333,4723000.0,CN,CHN
Сукянь,Китай,33.9331,118.2831,4719178.0,CN,CHN
Бостон,Соединенные Штаты,42.3188,-71.0846,4688346.0,US,USA
Цзянмэнь,Китай,22.5833,113.0833,4630300.0,CN,CHN
Мяньян,Китай,31.4669,104.7385,4613862.0,CN,CHN
Харбин,Китай,45.75,126.6333,4583000.0,CN,CHN
Хуанлонгси,Китай,34.7936,114.3403,4564900.0,CN,CHN
Мельбурн,Австралия,-37.8136,144.9631,4529500.0,AU,AUS
Цзыбо,Китай,36.7831,118.0497,4530597.0,CN,CHN
Далянь,Китай,38.9,121.6,4480000.0,CN,CHN
Хэншуй,Китай,37.7348,115.686,4472000.0,CN,CHN
Ибин,Китай,28.7596,104.64,4471896.0,CN,CHN
Янчжоу,Китай,32.3912,119.4363,4459760.0,CN,CHN
Тембр,Колумбия,фев.28,-76.6819,4444444.0,CO,COL
Йоханнесбург,Южная Африка,-26.2044,28.0416,4434827.0,ZA,ZAF
Иян,Китай,28.5833,112.3333,4413800.0,CN,CHN
Гиганг,Китай,23.0961,109.6092,4409200.0,CN,CHN
Синьпу,Китай,34.5906,119.1801,4393482.0,CN,CHN
Мэйчжоу,Китай,24.2998,116.1191,4378800.0,CN,CHN
Касабланка,Марокко,33.5992,-7.62,4370000.0,MA,MAR
Ланфан,Китай,39.5196,116.7006,4358839.0,CN,CHN
Чжанцзякоу,Китай,40.8108,114.8811,4345485.0,CN,CHN
Чифенг,Китай,42.2663,118.9223,4341245.0,CN,CHN
Линфен,Китай,36.0812,111.5087,4316610.0,CN,CHN
Цзянгуаньчи,Китай,34.0244,113.8201,4307488.0,CN,CHN
Кабул,Афганистан,34.5328,69.1658,4273156.0,AF,AFG
Феникс,Соединенные Штаты,33.5722,-112.0891,4219697.0,US,USA
Лучжоу,Китай,28.8918,105.4409,4218427.0,CN,CHN
Тайюань,Китай,37.8733,112.5425,4201592.0,CN,CHN
Чжаоцин,Китай,23.май,112.4667,4151700.0,CN,CHN
Сяосита,Китай,30.7083,111.2803,4137900.0,CN,CHN
Сямынь,Китай,24.4797,118.0819,4110000.0,CN,CHN
Фучжоу,Китай,27.9814,116.3577,4047200.0,CN,CHN
Лючжоу,Китай,24.3264,109.4281,4041700.0,CN,CHN
Чжучжоу,Китай,27.8407,113.1469,4020800.0,CN,CHN
Амман,Иордания,31.95,35.9333,4007526.0,JO,JOR
Джидда,Саудовская Аравия,21.5428,39.1728,3976000.0,SA,SAU
Чучжоу,Китай,32.3062,118.3115,3937868.0,CN,CHN
Громче,Китай,27.7378,111.9974,3931800.0,CN,CHN
Дэян,Китай,31.1289,104.395,3877000.0,CN,CHN
Цинъюань,Китай,23.6842,113.0507,3874000.0,CN,CHN
Кано,Нигерия,12.0,авг.67,3848885.0,NG,NGA
Уху,Китай,31.334,118.3622,3842100.0,CN,CHN
Сиэтл,Соединенные Штаты,47.6211,-122.3244,3789215.0,US,USA
Иокогама,Япония,35.4333,139.6333,3757630.0,JP,JPN
Биньчжоу,Китай,37.3806,118.0125,3748474.0,CN,CHN
Баоцзиши,Китай,34.3609,107.1751,3738700.0,CN,CHN
Цзаочжуан,Китай,34.8667,117.55,3729140.0,CN,CHN
Нэйцзян,Китай,29.5872,105.0635,3702847.0,CN,CHN
Байчэн,Китай,23.901,106.6194,3669400.0,CN,CHN
Берлин,Германия,52.5167,13.3833,3664088.0,DE,DEU
Аншан,Китай,41.1066,122.9895,3645884.0,CN,CHN
Ланьчжоу,Китай,36.0617,103.8318,3616163.0,CN,CHN
Пуян,Китай,35.7639,115.03,3598740.0,CN,CHN
Сан-Франциско,Соединенные Штаты,37.7562,-122.443,3592294.0,US,USA
Цзяоцзуо,Китай,35.229,113.2304,3590700.0,CN,CHN
Хечи,Китай,24.6928,108.085,3545700.0,CN,CHN
Понедельник©al,Канада,45.5089,-73.5617,3519595.0,CA,CAN
Детройт,Соединенные Штаты,42.3834,-83.1024,3506126.0,US,USA
Чэндэ,Китай,40.9739,117.9322,3473201.0,CN,CHN
Пусан,Южная Корея,35.1,129.0403,3453198.0,KR,KOR
Алжир,Алжир,36.7764,3.0586,3415811.0,DZ,DZA
Ханьчжун,Китай,33.0794,107.026,3416196.0,CN,CHN
Шиян,Китай,32.6351,110.7755,3398000.0,CN,CHN
Лакхнау,Индия,26.847,80.947,3382000.0,IN,IND
Просеивание,Китай,43.1715,124.3644,3385156.0,CN,CHN
Юлинши,Китай,38.2655,109.7388,3351436.0,CN,CHN
Чанчжи,Китай,36.1953,113.097,3334565.0,CN,CHN
Циньчжоу,Китай,21.95,108.6167,3304400.0,CN,CHN
Бажу,Китай,31.8576,106.7559,3283148.0,CN,CHN
Циньчэн,Китай,34.5809,105.7311,3262549.0,CN,CHN
Чжуншань,Китай,22.5333,113.35,3260000.0,CN,CHN
Подающий в суд,Китай,30.5098,105.5737,3252619.0,CN,CHN
Лешан,Китай,29.5854,103.7575,3235759.0,CN,CHN
Сан-Диего,Соединенные Штаты,32.8312,-117.1225,3220118.0,US,USA
Фейсалабад,Пакистан,31.418,73.079,3203846.0,PK,PAK
гуанв™ан,Китай,30.4673,106.6336,3205476.0,CN,CHN
Тонгрен,Китай,27.7233,109.1885,3168800.0,CN,CHN
Бэнбу,Китай,32.9354,117.3531,3164467.0,CN,CHN
Санта-Крус,Боливия,-17.7892,-63.1975,3151676.0,BO,BOL
Циньхуандао,Китай,39.9398,119.5881,3146300.0,CN,CHN
Тунляо,Китай,43.6172,122.264,3139153.0,CN,CHN
Цзиньчжоу,Китай,41.1144,121.1292,3126463.0,CN,CHN
Чжэньцзян,Китай,32.2109,119.4551,3113384.0,CN,CHN
ГњrГјmqi,Китай,43.8225,87.6125,3112559.0,CN,CHN
Хэйюань,Китай,23.7503,114.6923,3093900.0,CN,CHN
Джайпур,Индия,26.9167,75.8667,3073350.0,IN,IND
Синьчжоу,Китай,38.4178,112.7233,3067501.0,CN,CHN
Учжоу,Китай,23.4833,111.3167,3061100.0,CN,CHN
Аддис-Абеба,Эфиопия,9.0272,38.7369,3041002.0,ET,ETH
Чаоян,Китай,41.5757,120.4486,3044641.0,CN,CHN
Бразилия,Бразилия,-15.7939,-47.8828,3015268.0,BR,BRA
Мешхед,Иран,36.3069,59.6042,3001184.0,IR,IRN
Шаогуань,Китай,24.8011,113.5927,2997600.0,CN,CHN
Город Кувейт,Кувейт,29.375,47.98,2989000.0,KW,KWT
Шанвэй,Китай,22.7664,115.3331,2993600.0,CN,CHN
Кесон Сити,Филиппины,14.6333,121.0333,2960048.0,PH,PHL
Миннеаполис,Соединенные Штаты,44.9635,-93.2678,2977172.0,US,USA
Сана,Йемен,15.35,44.2,2957000.0,YE,YEM
Мейшан,Китай,30.0575,103.8381,2950545.0,CN,CHN
Город Гватемала,Гватемала,14.6099,-90.5252,2934841.0,GT,GTM
Инчхон,Южная Корея,37.4639,126.6486,2913024.0,KR,KOR
Нинде,Китай,26.6617,119.5228,2910000.0,CN,CHN
Тампа,Соединенные Штаты,27.9942,-82.4451,2908063.0,US,USA
Дацин,Китай,46.5979,125.008,2904532.0,CN,CHN
Путянь,Китай,25.4394,119.0103,2900000.0,CN,CHN
Бандунг,Индонезия,-6.95,107.5667,2875673.0,ID,IDN
Сурабая,Индонезия,-7.2458,112.7378,2885555.0,ID,IDN
Сальвадор,Бразилия,-12.9708,-38.5108,2886698.0,BR,BRA
Денвер,Соединенные Штаты,39.7621,-104.8759,2876625.0,US,USA
Рим,Италия,41.8931,дек.28,2872800.0,IT,ITA
Ла-Пас,Боливия,-16.4942,-68.1475,2867504.0,BO,BOL
Хохот,Китай,40.8151,111.6629,2866615.0,CN,CHN
Сянтан,Китай,27.8431,112.9228,2864800.0,CN,CHN
Пхеньян,Северная Корея,39.03,125.73,2863000.0,KP,PRK
Тайчжун,Тайвань,24.15,120.6667,2803894.0,TW,TWN
Вэйхай,Китай,37.5,122.1,2804771.0,CN,CHN
Жичжао,Китай,35.4164,119.4331,2801013.0,CN,CHN
Муданьцзян,Китай,44.5861,129.5997,2798723.0,CN,CHN
Гаосюн,Тайвань,22.6167,120.3,2773533.0,TW,TWN
Гуаякиль,Эквадор,-2.19,-79.8875,2723665.0,EC,ECU
Многоуровневый,Китай,42.2841,123.8365,2717732.0,CN,CHN
Канпор,Индия,26.4725,80.3311,2701324.0,IN,IND
Динси,Китай,35.5806,104.6263,2698624.0,CN,CHN
Тайбэй,Тайвань,25.0478,121.5319,2684567.0,TW,TWN
Наньпин,Китай,26.6448,118.1728,2690000.0,CN,CHN
Цзыгун,Китай,29.3498,104.7645,2678899.0,CN,CHN
Чаочжоу,Китай,23.67,116.63,2656600.0,CN,CHN
Баотоу,Китай,40.6562,109.8345,2650364.0,CN,CHN
Гулу,Китай,26.0819,119.2981,2606000.0,CN,CHN
Лонгьян,Китай,25.0881,117.0244,2640000.0,CN,CHN
Анканг,Китай,32.6877,109.0235,2629906.0,CN,CHN
Баошань,Китай,25.1211,99.169,2627000.0,CN,CHN
Хулудао,Китай,40.7094,120.8378,2623541.0,CN,CHN
Антананариву,Мадагаскар,-18.9386,47.5214,2610000.0,MG,MDG
Яньцзян,Китай,30.1256,104.6397,2593843.0,CN,CHN
Чаттограмма,Бангладеш,22.335,91.8325,2581643.0,BD,BGD
Санто-Доминго,Доминиканская Республика,18.4764,-69.8933,2581827.0,DO,DOM
Санминг,Китай,26.2658,117.6302,2580000.0,CN,CHN
Лонгба,Китай,33.535,105.349,2567718.0,CN,CHN
Бруклин,Соединенные Штаты,40.6501,-73.9496,2559903.0,US,USA
Янцзян,Китай,21.8556,111.9627,2555600.0,CN,CHN
Цзямуси,Китай,46.8081,130.3653,2552097.0,CN,CHN
Ибадан,Нигерия,июл.64,мар.67,2550593.0,NG,NGA
Лохэ,Китай,33.583,114.0109,2544266.0,CN,CHN
Линканг,Китай,23.8864,100.0871,2536000.0,CN,CHN
Медельин,Колумбия,июн.47,-75.5748,2529403.0,CO,COL
Сюаньчжоу,Китай,30.9475,118.7518,2532938.0,CN,CHN
Юньфу,Китай,22.9242,112.0353,2526900.0,CN,CHN
Дубай,Объединенные Арабские Эмираты,25.2697,55.3094,2502715.0,AE,ARE
Мирзопур,Индия,25.15,82.58,2496970.0,IN,IND
Ташкент,Узбекистан,41.3,69.2667,2497900.0,UZ,UZB
Гуанъюань,Китай,32.4353,105.8398,2484122.0,CN,CHN
Кали,Колумбия,мар.44,-76.5197,2471474.0,CO,COL
Хуанши,Китай,30.2018,115.0326,2471700.0,CN,CHN
Уагадугу,Буркина-Фасо,дек.86,-1.5275,2453496.0,BF,BFA
Тэгу,Южная Корея,35.8667,128.6,2461002.0,KR,KOR
Форталеза,Бразилия,-3.7275,-38.5275,2452185.0,BR,BRA
ЯундГ©,Камерун,мар.78,ноя.81,2440462.0,CM,CMR
Дуала,Камерун,04.май,09.июл,2446945.0,CM,CMR
Цзилинь,Китай,43.8519,126.5481,2396000.0,CN,CHN
Даньдун,Китай,40.1167,124.3833,2444697.0,CN,CHN
Ляньшань,Китай,40.7523,120.828,2426000.0,CN,CHN
Инкоу,Китай,40.6653,122.2297,2428534.0,CN,CHN
Нгпур,Индия,21.1539,79.0831,2405665.0,IN,IND
Омдурман,Судан,15.6167,32.48,2395159.0,SD,SDN
Бекаси,Индонезия,-6.2333,107.0,2381053.0,ID,IDN
GhДЃziДЃbДЃd,Индия,28.6667,77.4167,2375820.0,IN,IND
Юси,Китай,24.3495,102.5432,2386000.0,CN,CHN
Брисбен,Австралия,-27.4678,153.0281,2360241.0,AU,AUS
Аншун,Китай,26.2456,105.934,2353100.0,CN,CHN
Депок,Индонезия,-6.394,106.8225,2330333.0,ID,IDN
Шанчжоу,Китай,33.868,109.9244,2341742.0,CN,CHN
Хуайнань,Китай,32.4831,117.0164,2333896.0,CN,CHN
Куайдамао,Китай,41.7302,125.9471,2324439.0,CN,CHN
Аккра,Гана,май.37,-0.187,2291352.0,GH,GHA
Фукуока,Япония,33.6,130.4167,2280000.0,JP,JPN
Цзиньчэн,Китай,35.4906,112.8483,2279146.0,CN,CHN
Ванкувер,Канада,49.25,-123.1,2264823.0,CA,CAN
Мандарин,Индонезия,-6.1783,106.6319,2237006.0,ID,IDN
Саньмэнся,Китай,34.7736,111.195,2234018.0,CN,CHN
Лайбин,Китай,23.7333,109.2333,2233900.0,CN,CHN
Королевы,Соединенные Штаты,40.7498,-73.7976,2230722.0,US,USA
Цинбалинг,Китай,35.7278,107.64,2211191.0,CN,CHN
Сининг,Китай,36.6239,101.7787,2208708.0,CN,CHN
Ма Аньшань,Китай,31.6858,118.5101,2202899.0,CN,CHN
Яньв™ань,Китай,36.5952,109.4863,2187009.0,CN,CHN
Баку,Азербайджан,40.3667,49.8352,2181800.0,AZ,AZE
Гаопинг,Китай,30.7824,106.1281,2174000.0,CN,CHN
Хараре,Зимбабве,-17.8292,31.0522,2150000.0,ZW,ZWE
Гавана,Куба,23.1367,-82.3589,2141652.0,CU,CUB
Пномпень,Камбоджа,ноя.96,104.921,2129371.0,KH,KHM
Нинбо,Китай,29.875,121.5492,2125500.0,CN,CHN
Могадишо,Сомали,2.0408,45.3425,2120000.0,SO,SOM
Наказывающий,Китай,23.2993,116.1586,2118200.0,CN,CHN
Медан,Индонезия,мар.67,98.6667,2109330.0,ID,IDN
Хуайбэй,Китай,33.9562,116.789,2114276.0,CN,CHN
Циньян,Китай,24.8141,118.5792,2111000.0,CN,CHN
Берег реки,Соединенные Штаты,33.9381,-117.3948,2107852.0,US,USA
Балтимор,Соединенные Штаты,39.3051,-76.6144,2106068.0,US,USA
Хайфон,Вьетнам,20.авг,106.6667,2103500.0,VN,VNM
Лас-Вегас,Соединенные Штаты,36.2333,-115.2654,2104198.0,US,USA
Чонгзуо,Китай,22.4167,107.3667,2099400.0,CN,CHN
Равалпинди,Пакистан,33.6007,73.0679,2098231.0,PK,PAK
Кумаси,Гана,июн.33,-1.6167,2069350.0,GH,GHA
Портленд,Соединенные Штаты,45.5372,-122.65,2074775.0,US,USA
Вадодара,Индия,22.мар,73.2,2065771.0,IN,IND
Хэчжоу,Китай,24.4164,111.5478,2072600.0,CN,CHN
Пинлян,Китай,35.5412,106.6819,2068033.0,CN,CHN
Сан-Антонио,Соединенные Штаты,29.4658,-98.5253,2049293.0,US,USA
Перт,Австралия,-31.9522,115.8589,2039200.0,AU,AUS
Вишанкхапатнам,Индия,17.7333,83.3167,2035922.0,IN,IND
Шенгли,Китай,37.45,118.4667,2035338.0,CN,CHN
Гуджранвала,Пакистан,32.15,74.1833,2027001.0,PK,PAK
Байчэн,Китай,45.6148,122.832,2032356.0,CN,CHN
Фушунь,Китай,41.8708,123.8917,2024000.0,CN,CHN
Сент-Луис,Соединенные Штаты,38.6358,-90.2451,2024074.0,US,USA
Бамако,Мали,дек.58,-7.9922,2009109.0,ML,MLI
Кито,Эквадор,-0.22,-78.5125,2011388.0,EC,ECU
Минск,Беларусь,53.9022,27.5618,2009786.0,BY,BLR
Индор,Индия,22.7206,75.8472,1994397.0,IN,IND
Иньчуань,Китай,38.4795,106.2254,1993088.0,CN,CHN
Кананга,Конго (Киншаса),-5.8961,22.4167,1971704.0,CD,COD
Пешавар,Пакистан,34.0,71.5,1970042.0,PK,PAK
Саппоро,Япония,43.0621,141.3544,1961690.0,JP,JPN
Эфахан,Иран,32.6447,51.6675,1961260.0,IR,IRN
Каракас,Венесуэла,10.май,-66.9333,1943901.0,VE,VEN
Пинсян,Китай,27.6333,113.85,1933200.0,CN,CHN
Алеппо,Сирия,36.2,37.15,1916781.0,SY,SYR
Тихуана,Мексика,32.525,-117.0333,1922523.0,MX,MEX
Алматы,Казахстан,43.25,76.9,1916822.0,KZ,KAZ
Вена,Австрия,48.2083,16.3725,1911191.0,AT,AUT
Там,Индия,19.18,72.9633,1886941.0,IN,IND
Сакраменто,Соединенные Штаты,38.5667,-121.4683,1898019.0,US,USA
Блантайр,Малави,-15.7861,35.0058,1895973.0,MW,MWI
Тайнань,Тайвань,22.9833,120.1833,1883831.0,TW,TWN
Жухай,Китай,22.2769,113.5678,1891100.0,CN,CHN
Бухарест,Румыния,44.4,26.0833,1883425.0,RO,ROU
Куритиба,Бразилия,-25.4297,-49.2719,1879355.0,BR,BRA
Мултан,Пакистан,30.1978,71.4711,1871843.0,PK,PAK
Сипин,Китай,40.082,113.2981,1873000.0,CN,CHN
Ecatepec,Мексика,19.6097,-99.06,1857188.0,MX,MEX
Джикси,Китай,45.2937,130.965,1862165.0,CN,CHN
Саиду Шариф,Пакистан,34.75,72.3572,1860310.0,PK,PAK
Ляоян,Китай,41.2643,123.1772,1858768.0,CN,CHN
Гамбург,Германия,53.55,10.0,1852478.0,DE,DEU
Меру,Кения,0.05,37.65,1833000.0,KE,KEN
Браззавиль,Конго (Браззавиль),-4.2667,15.2833,1827000.0,CG,COG
